"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,100,245970,0.000406553644753425
"2","Newfoundland and Labrador","DivisionNo.10",1010,0,23820,0
"3","Newfoundland and Labrador","DivisionNo.11",1011,0,2410,0
"4","Newfoundland and Labrador","DivisionNo.2",1002,0,22190,0
"5","Newfoundland and Labrador","DivisionNo.3",1003,0,17550,0
"6","Newfoundland and Labrador","DivisionNo.4",1004,0,21030,0
"7","Newfoundland and Labrador","DivisionNo.5",1005,0,40380,0
"8","Newfoundland and Labrador","DivisionNo.6",1006,0,35650,0
"9","Newfoundland and Labrador","DivisionNo.7",1007,0,35140,0
"10","Newfoundland and Labrador","DivisionNo.8",1008,0,38505,0
"11","Newfoundland and Labrador","DivisionNo.9",1009,0,17945,0
